Pokedex Id,Name,Classification,Alternate Form Name,Group,Height,Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Male Ratio,Female Ratio,HP,Attack,Defense,SpAtk,SpDef,Speed,BST,CatchRate,Experience Growth Rate,Experience Growth Points Total,Egg Group,Evolution Details,Original Name
11,Metapod,Cocoon Pokémon,None,,0.7,9.9,Bug,None,Shed Skin,None,None,50.0,50.0,50,20,55,25,25,30,205,120,Medium Fast,1000000,Bug,Level 7,Metapod
12,Butterfree,Butterfly Pokémon,None,,1.1,32.0,Bug,Flying,Compound Eyes,None,Tinted Lens,50.0,50.0,60,45,50,90,80,70,395,45,Medium Fast,1000000,Bug,Level 10,Butterfree
13,Weedle,Hairy Bug Pokémon,None,,0.3,3.2,Bug,Poison,Shield Dust,None,Run Away,50.0,50.0,40,35,30,20,20,50,195,255,Medium Fast,1000000,Bug,No Evolution,Weedle
14,Kakuna,Cocoon Pokémon,None,,0.6,10.0,Bug,Poison,Shed Skin,None,None,50.0,50.0,45,25,50,25,25,35,205,120,Medium Fast,1000000,Bug,Level 7,Kakuna
15,Beedrill,Poison Bee Pokémon,None,,1.0,29.5,Bug,Poison,Swarm,None,Sniper,50.0,50.0,65,90,40,45,80,75,395,45,Medium Fast,1000000,Bug,Level 10,Beedrill
15,Beedrill (Mega),Poison Bee Pokémon,Mega,,1.4,40.5,Bug,Poison,Adaptability,None,None,50.0,50.0,65,150,40,15,80,145,495,45,Medium Fast,1000000,Bug,No Evolution,Beedrill
16,Pidgey,Tiny Bird Pokémon,None,,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50.0,50.0,40,45,40,35,35,56,251,255,Medium Slow,1059860,Flying,No Evolution,Pidgey
17,Pidgeotto,Bird Pokémon,None,,1.1,30.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50.0,50.0,63,60,55,50,50,71,349,120,Medium Slow,1059860,Flying,Level 18,Pidgeotto
18,Pidgeot,Bird Pokémon,None,,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50.0,50.0,83,80,75,70,70,101,479,45,Medium Slow,1059860,Flying,Level 36,Pidgeot
18,Pidgeot (Mega),Bird Pokémon,Mega,,2.2,50.5,Normal,Flying,No Guard,None,None,50.0,50.0,83,80,80,135,80,121,579,45,Medium Slow,1059860,Flying,No Evolution,Pidgeot
19,Rattata,Mouse Pokémon,None,,0.3,3.5,Normal,None,Run Away,Guts,Hustle,50.0,50.0,30,56,35,25,35,72,253,255,Medium Fast,1000000,Field,No Evolution,Rattata
19,Rattata (Alola),Mouse Pokémon,Alola,,0.3,3.8,Dark,Normal,Gluttony,Hustle,Thick Fat,50.0,50.0,30,56,35,25,35,72,253,255,Medium Fast,1000000,Field,No Evolution,Rattata
20,Raticate,Mouse Pokémon,None,,0.7,18.5,Normal,None,Run Away,Guts,Hustle,50.0,50.0,55,81,60,50,70,97,413,127,Medium Fast,1000000,Field,Level 20,Raticate
20,Raticate (Alola),Mouse Pokémon,Alola,,0.7,25.5,Dark,Normal,Gluttony,Hustle,Thick Fat,50.0,50.0,75,71,70,40,80,77,413,127,Medium Fast,1000000,Field,Level 20,Raticate
21,Spearow,Tiny Bird Pokémon,None,,0.3,2.0,Normal,Flying,Keen Eye,None,Sniper,50.0,50.0,40,60,30,31,31,70,262,255,Medium Fast,1000000,Flying,No Evolution,Spearow
22,Fearow,Beak Pokémon,None,,1.2,38.0,Normal,Flying,Keen Eye,None,Sniper,50.0,50.0,65,90,65,61,61,100,442,90,Medium Fast,1000000,Flying,Level 20,Fearow
23,Ekans,Snake Pokémon,None,,2.0,6.9,Poison,None,Intimidate,Shed Skin,Unnerve,50.0,50.0,35,60,44,40,54,55,288,255,Medium Fast,1000000,Field,No Evolution,Ekans
24,Arbok,Cobra Pokémon,None,,3.5,65.0,Poison,None,Intimidate,Shed Skin,Unnerve,50.0,50.0,60,95,69,65,79,80,448,90,Medium Fast,1000000,Field,Level 22,Arbok
25,Pikachu,Mouse Pokémon,None,,0.4,6.0,Electric,None,Static,None,Lightning Rod,50.0,50.0,35,55,40,50,50,90,320,190,Medium Fast,1000000,Field,No Evolution,Pikachu
25,Pikachu (Starter),Mouse Pokémon,Starter,Starter,0.4,6.0,Electric,None,Static,None,Lightning Rod,50.0,50.0,45,80,50,75,60,120,430,190,Medium Fast,1000000,Field,No Evolution,Pikachu
26,Raichu,Mouse Pokémon,None,,0.8,30.0,Electric,None,Static,None,Lightning Rod,50.0,50.0,60,90,55,90,80,110,485,75,Medium Fast,1000000,Field,Thunder Stone,Raichu
26,Raichu (Alola),Mouse Pokémon,Alola,,0.7,21.0,Electric,Psychic,Surge Surfer,None,None,50.0,50.0,60,85,50,95,85,110,485,75,Medium Fast,1000000,Field,Thunder Stone in Alola,Raichu
27,Sandshrew,Mouse Pokémon,None,,0.6,12.0,Ground,None,Sand Veil,None,Sand Rush,50.0,50.0,50,75,85,20,30,40,300,255,Medium Fast,1000000,Field,No Evolution,Sandshrew
27,Sandshrew (Alola),Mouse Pokémon,Alola,,0.7,40.0,Ice,Steel,Snow Cloak,None,Slush Rush,50.0,50.0,50,75,90,10,35,40,300,255,Medium Fast,1000000,Field,No Evolution,Sandshrew
28,Sandslash,Mouse Pokémon,None,,1.0,29.5,Ground,None,Sand Veil,None,Sand Rush,50.0,50.0,75,100,110,45,55,65,450,90,Medium Fast,1000000,Field,Level 22,Sandslash
28,Sandslash (Alola),Mouse Pokémon,Alola,,1.2,55.0,Ice,Steel,Snow Cloak,None,Slush Rush,50.0,50.0,75,100,120,25,65,65,450,90,Medium Fast,1000000,Field,Ice Stone,Sandslash
29,Nidoran (Female),Poison Pin Pokémon,None,,0.4,7.0,Poison,None,Poison Point,Rivalry,Hustle,0.0,100.0,55,47,52,40,40,41,275,235,Medium Slow,1059860,Monster,No Evolution,Nidoran
30,Nidorina,Poison Pin Pokémon,None,,0.8,20.0,Poison,None,Poison Point,Rivalry,Hustle,0.0,100.0,70,62,67,55,55,56,365,120,Medium Slow,1059860,No Eggs Discovered,Level 16,Nidorina
31,Nidoqueen,Drill Pokémon,None,,1.3,60.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,0.0,100.0,90,92,87,75,85,76,505,45,Medium Slow,1059860,No Eggs Discovered,Moon Stone,Nidoqueen
32,Nidoran (Male),Poison Pin Pokémon,None,,0.5,9.0,Poison,None,Poison Point,Rivalry,Hustle,100.0,0.0,46,57,40,40,40,50,273,235,Medium Slow,1059860,Monster,No Evolution,Nidoran
33,Nidorino,Poison Pin Pokémon,None,,0.9,19.5,Poison,None,Poison Point,Rivalry,Hustle,100.0,0.0,61,72,57,55,55,65,365,120,Medium Slow,1059860,Monster,Level 16,Nidorino
34,Nidoking,Drill Pokémon,None,,1.4,62.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,100.0,0.0,81,102,77,85,75,85,505,45,Medium Slow,1059860,Monster,Moon Stone,Nidoking
35,Clefairy,Fairy Pokémon,None,,0.6,7.5,Fairy,None,Cute Charm,Magic Guard,Friend Guard,25.0,75.0,70,45,48,60,65,35,323,150,Fast,800000,Fairy,No Evolution,Clefairy
36,Clefable,Fairy Pokémon,None,,1.3,40.0,Fairy,None,Cute Charm,Magic Guard,Unaware,25.0,75.0,95,70,73,95,90,60,483,25,Fast,800000,Fairy,Moon Stone,Clefable
37,Vulpix,Fox Pokémon,None,,0.6,9.9,Fire,None,Flash Fire,None,Drought,25.0,75.0,38,41,40,50,65,65,299,190,Medium Fast,1000000,Field,No Evolution,Vulpix
37,Vulpix (Alola),Fox Pokémon,Alola,,0.6,9.9,Ice,None,Snow Cloak,None,Snow Warning,25.0,75.0,38,41,40,50,65,65,299,190,Medium Fast,1000000,Field,No Evolution,Vulpix
38,Ninetales,Fox Pokémon,None,,1.1,19.9,Fire,None,Flash Fire,None,Drought,25.0,75.0,73,76,75,81,100,100,505,75,Medium Fast,1000000,Field,Fire Stone,Ninetales
38,Ninetales (Alola),Fox Pokémon,Alola,,1.1,19.9,Ice,Fairy,Snow Cloak,None,Snow Warning,25.0,75.0,73,67,75,81,100,109,505,75,Medium Fast,1000000,Field,Ice Stone,Ninetales
39,Jigglypuff,Balloon Pokémon,None,,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,25.0,75.0,115,45,20,45,25,20,270,170,Fast,800000,Fairy,No Evolution,Jigglypuff
40,Wigglytuff,Balloon Pokémon,None,,1.0,12.0,Normal,Fairy,Cute Charm,Competitive,Frisk,25.0,75.0,140,70,45,85,50,45,435,50,Fast,800000,Fairy,Moon Stone,Wigglytuff
41,Zubat,Bat Pokémon,None,,0.8,7.5,Poison,Flying,Inner Focus,None,Infiltrator,50.0,50.0,40,45,35,30,40,55,245,255,Medium Fast,1000000,Flying,No Evolution,Zubat
42,Golbat,Bat Pokémon,None,,1.6,55.0,Poison,Flying,Inner Focus,None,Infiltrator,50.0,50.0,75,80,70,65,75,95,460,90,Medium Fast,1000000,Flying,Level 22,Golbat
43,Oddish,Weed Pokémon,None,,0.5,5.4,Grass,Poison,Chlorophyll,None,Run Away,50.0,50.0,45,50,55,75,65,30,320,255,Medium Slow,1059860,Grass,No Evolution,Oddish
44,Gloom,Weed Pokémon,None,,0.8,8.6,Grass,Poison,Chlorophyll,None,Stench,50.0,50.0,60,65,70,85,75,40,395,120,Medium Slow,1059860,Grass,Level 21,Gloom
45,Vileplume,Flower Pokémon,None,,1.2,18.6,Grass,Poison,Chlorophyll,None,Effect Spore,50.0,50.0,75,80,85,110,90,50,490,45,Medium Slow,1059860,Grass,Leaf Stone,Vileplume
46,Paras,Mushroom Pokémon,None,,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,50.0,50.0,35,70,55,45,55,25,285,190,Medium Fast,1000000,Bug,No Evolution,Paras
47,Parasect,Mushroom Pokémon,None,,1.0,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,50.0,50.0,60,95,80,60,80,30,405,75,Medium Fast,1000000,Bug,Level 24,Parasect
48,Venonat,Insect Pokémon,None,,1.0,30.0,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,50.0,50.0,60,55,50,40,55,45,305,190,Medium Fast,1000000,Bug,No Evolution,Venonat
49,Venomoth,Poison Moth Pokémon,None,,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,50.0,50.0,70,65,60,90,75,90,450,75,Medium Fast,1000000,Bug,Level 31,Venomoth
50,Diglett,Mole Pokémon,None,,0.2,0.8,Ground,None,Sand Veil,Arena Trap,Sand Force,50.0,50.0,10,55,25,35,45,95,265,255,Medium Fast,1000000,Field,No Evolution,Diglett
50,Diglett (Alola),Mole Pokémon,Alola,,0.2,1.0,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,50.0,50.0,10,55,30,35,45,90,265,255,Medium Fast,1000000,Field,No Evolution,Diglett
51,Dugtrio (Alola),Mole Pokémon,Alola,,0.7,66.6,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,50.0,50.0,35,100,60,50,70,110,425,50,Medium Fast,1000000,Field,Level 26 In Alola,Dugtrio
51,Dugtrio,Mole Pokémon,None,,0.7,33.3,Ground,None,Sand Veil,Arena Trap,Sand Force,50.0,50.0,35,100,50,50,70,120,425,50,Medium Fast,1000000,Field,Level 26,Dugtrio
52,Meowth,Scratch Cat Pokémon,None,,0.4,4.2,Normal,None,Pickup,Technician,Unnerve,50.0,50.0,40,45,35,40,40,90,290,255,Medium Fast,1000000,Field,No Evolution,Meowth
52,Meowth (Alola),Scratch Cat Pokémon,Alola,,0.4,4.2,Dark,None,Pickup,Technician,Rattled,50.0,50.0,40,35,35,50,40,90,290,255,Medium Fast,1000000,Field,No Evolution,Meowth
52,Meowth (Galar),Scratch Cat Pokémon,Galar,,0.4,7.5,Steel,None,Pickup,Tough Claws,Unnerve,50.0,50.0,50,65,55,40,40,40,290,255,Medium Fast,1000000,Field,No Evolution,Meowth
53,Persian,Classy Cat Pokémon,None,,1.0,32.0,Normal,None,Limber,Technician,Unnerve,50.0,50.0,65,70,60,65,65,115,440,90,Medium Fast,1000000,Field,Level 28,Persian
53,Persian (Alola),Classy Cat Pokémon,Alola,,1.1,33.0,Dark,None,Fur Coat,Technician,Rattled,50.0,50.0,65,60,60,75,65,115,440,90,Medium Fast,1000000,Field,No Evolution,Persian
54,Psyduck,Duck Pokémon,None,,0.8,19.6,Water,None,Damp,Cloud Nine,Swift Swim,50.0,50.0,50,52,48,65,50,55,320,190,Medium Fast,1000000,Water 1,No Evolution,Psyduck
55,Golduck,Duck Pokémon,None,,1.7,76.6,Water,None,Damp,Cloud Nine,Swift Swim,50.0,50.0,80,82,78,95,80,85,500,75,Medium Fast,1000000,Water 1,Level 33,Golduck
56,Mankey,Pig Monkey Pokémon,None,,0.5,28.0,Fighting,None,Vital Spirit,Anger Point,Defiant,50.0,50.0,40,80,35,35,45,70,305,190,Medium Fast,1000000,Field,No Evolution,Mankey
57,Primeape,Pig Monkey Pokémon,None,,1.0,32.0,Fighting,None,Vital Spirit,Anger Point,Defiant,50.0,50.0,65,105,60,60,70,95,455,75,Medium Fast,1000000,Field,Level 28,Primeape
58,Growlithe,Puppy Pokémon,None,,0.7,19.0,Fire,None,Intimidate,Flash Fire,Justified,75.0,25.0,55,70,45,70,50,60,350,190,Slow,1250000,Field,No Evolution,Growlithe
58,Growlithe (Hisui),Scout Pokémon,Hisui,,0.8,22.7,Fire,Rock,Intimidate,Flash Fire,Rock Head,75.0,25.0,60,75,45,65,50,55,350,235,Slow,1250000,Field,No Evolution,Growlithe
59,Arcanine,Legendary Pokémon,None,,1.9,155.0,Fire,None,Intimidate,Flash Fire,Justified,75.0,25.0,90,110,80,100,80,95,555,75,Slow,1250000,Field,Fire Stone,Arcanine
59,Arcanine (Hisui),Legendary Pokémon,Hisui,,2.0,168.0,Fire,Rock,Intimidate,Flash Fire,Rock Head,75.0,25.0,95,115,80,95,80,90,555,135,Slow,1250000,Field,Fire Stone,Arcanine
60,Poliwag,Tadpole Pokémon,None,,0.6,12.4,Water,None,Water Absorb,Damp,Swift Swim,50.0,50.0,40,50,40,40,40,90,300,255,Medium Slow,1059860,Water 1,No Evolution,Poliwag
61,Poliwhirl,Tadpole Pokémon,None,,1.0,20.0,Water,None,Water Absorb,Damp,Swift Swim,50.0,50.0,65,65,65,50,50,90,385,120,Medium Slow,1059860,Water 1,Level 25,Poliwhirl
62,Poliwrath,Tadpole Pokémon,None,,1.3,54.0,Water,Fighting,Water Absorb,Damp,Swift Swim,50.0,50.0,90,95,95,70,90,70,510,45,Medium Slow,1059860,Water 1,Water Stone,Poliwrath
63,Abra,Psi Pokémon,None,,0.9,19.5,Psychic,None,Synchronize,Inner Focus,Magic Guard,75.0,25.0,25,20,15,105,55,90,310,200,Medium Slow,1059860,Human-Like,No Evolution,Abra
64,Kadabra,Psi Pokémon,None,,1.3,56.5,Psychic,None,Synchronize,Inner Focus,Magic Guard,75.0,25.0,40,35,30,120,70,105,400,100,Medium Slow,1059860,Human-Like,Level 16,Kadabra
65,Alakazam,Psi Pokémon,None,,1.5,48.0,Psychic,None,Synchronize,Inner Focus,Magic Guard,75.0,25.0,55,50,45,135,95,120,500,50,Medium Slow,1059860,Human-Like,No Evolution,Alakazam
65,Alakazam (Mega),Psi Pokémon,Mega,,1.2,48.0,Psychic,None,Trace,None,None,75.0,25.0,55,50,65,175,105,150,600,50,Medium Slow,1059860,Human-Like,No Evolution,Alakazam
66,Machop,Superpower Pokémon,None,,0.8,19.5,Fighting,None,Guts,No Guard,Steadfast,75.0,25.0,70,80,50,35,35,35,305,180,Medium Slow,1059860,Human-Like,No Evolution,Machop
67,Machoke,Superpower Pokémon,None,,1.5,70.5,Fighting,None,Guts,No Guard,Steadfast,75.0,25.0,80,100,70,50,60,45,405,90,Medium Slow,1059860,Human-Like,Level 28,Machoke
68,Machamp,Superpower Pokémon,None,,1.6,130.0,Fighting,None,Guts,No Guard,Steadfast,75.0,25.0,90,130,80,65,85,55,505,45,Medium Slow,1059860,Human-Like,No Evolution,Machamp
69,Bellsprout,Flower Pokémon,None,,0.7,4.0,Grass,Poison,Chlorophyll,None,Gluttony,50.0,50.0,50,75,35,70,30,40,300,255,Medium Slow,1059860,Grass,No Evolution,Bellsprout
70,Weepinbell,Flycatcher Pokémon,None,,1.0,6.4,Grass,Poison,Chlorophyll,None,Gluttony,50.0,50.0,65,90,50,85,45,55,390,120,Medium Slow,1059860,Grass,Level 21,Weepinbell
71,Victreebel,Flycatcher Pokémon,None,,1.7,15.5,Grass,Poison,Chlorophyll,None,Gluttony,50.0,50.0,80,105,65,100,70,70,490,45,Medium Slow,1059860,Grass,Leaf Stone,Victreebel
72,Tentacool,Jellyfish Pokémon,None,,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,50.0,50.0,40,40,35,50,100,70,335,190,Slow,1250000,Water 3,No Evolution,Tentacool
73,Tentacruel,Jellyfish Pokémon,None,,1.6,55.0,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,50.0,50.0,80,70,65,80,120,100,515,60,Slow,1250000,Water 3,Level 30,Tentacruel
74,Geodude,Rock Pokémon,None,,0.4,20.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,50.0,50.0,40,80,100,30,30,20,300,255,Medium Slow,1059860,Mineral,No Evolution,Geodude
74,Geodude (Alola),Rock Pokémon,Alola,,0.4,20.3,Rock,Electric,Magnet Pull,Sturdy,Galvanize,50.0,50.0,40,80,100,30,30,20,300,255,Medium Slow,1059860,Mineral,No Evolution,Geodude
75,Graveler (Alola),Rock Pokémon,Alola,,1.0,110.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,50.0,50.0,55,95,115,45,45,35,390,120,Medium Slow,1059860,Mineral,Level 25,Graveler
75,Graveler,Rock Pokémon,None,,1.0,105.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,50.0,50.0,55,95,115,45,45,35,390,120,Medium Slow,1059860,Mineral,Level 25,Graveler
76,Golem,Megaton Pokémon,None,,1.4,300.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,50.0,50.0,80,120,130,55,65,45,495,45,Medium Slow,1059860,Mineral,No Evolution,Golem
76,Golem (Alola),Megaton Pokémon,Alola,,1.7,316.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,50.0,50.0,80,120,130,55,65,45,495,45,Medium Slow,1059860,Mineral,No Evolution,Golem
77,Ponyta (Galar),Unique Horn Pokémon,Galar,,0.8,24.0,Psychic,None,Run Away,Pastel Veil,Anticipation,50.0,50.0,50,85,55,65,65,90,410,190,Medium Fast,1000000,Field,No Evolution,Ponyta
77,Ponyta,Fire Horse Pokémon,None,,1.0,30.0,Fire,None,Run Away,Flash Fire,Flame Body,50.0,50.0,50,85,55,65,65,90,410,190,Medium Fast,1000000,Field,No Evolution,Ponyta
78,Rapidash,Fire Horse Pokémon,None,,1.7,95.0,Fire,None,Run Away,Flash Fire,Flame Body,50.0,50.0,65,100,70,80,80,105,500,60,Medium Fast,1000000,Field,Level 40,Rapidash
78,Rapidash (Galar),Unique Horn Pokémon,Galar,,1.7,80.0,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,50.0,50.0,65,100,70,80,80,105,500,60,Medium Fast,1000000,Field,Level 40,Rapidash
79,Slowpoke (Galar),Dopey Pokémon,Galar,,1.2,36.0,Psychic,None,Gluttony,Own Tempo,Regenerator,50.0,50.0,90,65,65,40,40,15,315,190,Medium Fast,1000000,Monster,No Evolution,Slowpoke
79,Slowpoke,Dopey Pokémon,None,,1.2,36.0,Water,Psychic,Oblivious,Own Tempo,Regenerator,50.0,50.0,90,65,65,40,40,15,315,190,Medium Fast,1000000,Monster,No Evolution,Slowpoke
80,Slowbro (Mega),Hermit Crab Pokémon,Mega,,2.0,120.0,Water,Psychic,Shell Armor,None,None,50.0,50.0,95,75,180,130,80,30,590,75,Medium Fast,1000000,Monster,No Evolution,Slowbro
80,Slowbro (Galar),Hermit Crab Pokémon,Galar,,1.6,70.5,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,50.0,50.0,95,100,95,100,70,30,490,75,Medium Fast,1000000,Monster,Galarica Cuff,Slowbro
80,Slowbro,Hermit Crab Pokémon,None,,1.6,78.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,50.0,50.0,95,75,110,100,80,30,490,75,Medium Fast,1000000,Monster,Level 37,Slowbro
81,Magnemite,Magnet Pokémon,None,,0.3,6.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,0.0,0.0,25,35,70,95,55,45,325,190,Medium Fast,1000000,Mineral,No Evolution,Magnemite
82,Magneton,Magnet Pokémon,None,,1.0,60.0,Electric,Steel,Magnet Pull,Sturdy,Analytic,0.0,0.0,50,60,95,120,70,70,465,60,Medium Fast,1000000,Mineral,Level 30,Magneton
83,Farfetch'd,Wild Duck Pokémon,None,,0.8,15.0,Normal,Flying,Keen Eye,Inner Focus,Defiant,50.0,50.0,52,90,55,58,62,60,377,45,Medium Fast,1000000,Flying,No Evolution,Farfetch'd
83,Farfetch'd (Galar),Wild Bull Pokémon,Galar,,0.8,42.0,Fighting,None,Steadfast,None,Scrappy,50.0,50.0,52,95,55,58,62,55,377,45,Medium Fast,1000000,Flying,No Evolution,Farfetch'd
84,Doduo,Twin Bird Pokémon,None,,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,50.0,50.0,35,85,45,35,35,75,310,190,Medium Fast,1000000,Flying,No Evolution,Doduo
85,Dodrio,Triple Bird Pokémon,None,,1.8,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,50.0,50.0,60,110,70,60,60,110,470,45,Medium Fast,1000000,Flying,Level 31,Dodrio
86,Seel,Sea Lion Pokémon,None,,1.1,90.0,Water,None,Thick Fat,Hydration,Ice Body,50.0,50.0,65,45,55,45,70,45,325,190,Medium Fast,1000000,Water 1,No Evolution,Seel
87,Dewgong,Sea Lion Pokémon,None,,1.7,120.0,Water,Ice,Thick Fat,Hydration,Ice Body,50.0,50.0,90,70,80,70,95,70,475,75,Medium Fast,1000000,Water 1,Level 34,Dewgong
88,Grimer,Sludge Pokémon,None,,0.9,30.0,Poison,None,Stench,Sticky Hold,Poison Touch,50.0,50.0,80,80,50,40,50,25,325,190,Medium Fast,1000000,Amorphous,No Evolution,Grimer
88,Grimer (Alola),Sludge Pokémon,Alola,,0.7,42.0,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,50.0,50.0,80,80,50,40,50,25,325,190,Medium Fast,1000000,Amorphous,No Evolution,Grimer
89,Muk (Alola),Sludge Pokémon,Alola,,1.0,52.0,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,50.0,50.0,105,105,75,65,100,50,500,75,Medium Fast,1000000,Amorphous,Level 38,Muk
89,Muk,Sludge Pokémon,None,,1.2,30.0,Poison,None,Stench,Sticky Hold,Poison Touch,50.0,50.0,105,105,75,65,100,50,500,75,Medium Fast,1000000,Amorphous,Level 38,Muk
90,Shellder,Bivalve Pokémon,None,,0.3,4.0,Water,None,Shell Armor,Skill Link,Overcoat,50.0,50.0,30,65,100,45,25,40,305,190,Slow,1250000,Water 3,No Evolution,Shellder
91,Cloyster,Bivalve Pokémon,None,,1.5,132.5,Water,Ice,Shell Armor,Skill Link,Overcoat,50.0,50.0,50,95,180,85,45,70,525,60,Slow,1250000,Water 3,Water Stone,Cloyster
92,Gastly,Gas Pokémon,None,,1.3,0.1,Ghost,Poison,Levitate,None,None,50.0,50.0,30,35,30,100,35,80,310,190,Medium Slow,1059860,Amorphous,No Evolution,Gastly
93,Haunter,Gas Pokémon,None,,1.6,0.1,Ghost,Poison,Levitate,None,None,50.0,50.0,45,50,45,115,55,95,405,90,Medium Slow,1059860,Amorphous,Level 25,Haunter
94,Gengar,Shadow Pokémon,None,,1.5,40.5,Ghost,Poison,Cursed Body,None,None,50.0,50.0,60,65,60,130,75,110,500,45,Medium Slow,1059860,Amorphous,No Evolution,Gengar
94,Gengar (Mega),Shadow Pokémon,Mega,,1.4,40.5,Ghost,Poison,Shadow Tag,None,None,50.0,50.0,60,65,80,170,95,130,600,45,Medium Slow,1059860,Amorphous,No Evolution,Gengar
95,Onix,Rock Snake Pokémon,None,,8.8,210.0,Rock,Ground,Rock Head,Sturdy,Weak Armor,50.0,50.0,35,45,160,30,45,70,385,45,Medium Fast,1000000,Mineral,No Evolution,Onix
